sampleid,locid,substrate,batid,species,year,repro,use,dfresh,dmarine,dforcore,elev,slope,aspect,bldg060,bldg090,bldg120,bldg150,bldg180,bldg210,bldg240,bldg270,bldg300,bldg330,bldg360,road060,road090,road120,road150,road180,road210,road240,road270,road300,road330,road360,ptcc060,ptcc090,ptcc120,ptcc150,ptcc180,ptcc210,ptcc240,ptcc270,ptcc300,ptcc330,ptcc360,pdev060,pdev090,pdev120,pdev150,pdev180,pdev210,pdev240,pdev270,pdev300,pdev330,pdev360,pfor060,pfor090,pfor120,pfor150,pfor180,pfor210,pfor240,pfor270,pfor300,pfor330,pfor360,pgra060,pgra090,pgra120,pgra150,pgra180,pgra210,pgra240,pgra270,pgra300,pgra330,pgra360,pwet060,pwet090,pwet120,pwet150,pwet180,pwet210,pwet240,pwet270,pwet300,pwet330,pwet360
12,R014,Bldg,EPFU.284,EPFU,2016,1,1,369.823016,1298.96632,237.990492,12,0,0.54,4.420970643,3.929751682,4.642019174,4.102660755,3.733264096,3.175880951,2.707844519,2.663498362,2.440375794,2.279905521,2.284168165,459.645162,327.5815716,184.264634,117.9293658,119.1556029,140.5496161,107.6082998,95.64588133,77.47316387,71.62273611,62.51595542,33.909091,33.821429,37.408163,41.564103,44.433628,46.756579,49.295,NA,NA,NA,NA,0.961346,0.905025,0.862288,0.814787,0.774171,0.741332,0.686624,0.616868,0.568048,0.529414,0.502008,0.038654,0.094976,0.137712,0.182056,0.214616,0.231575,0.268815,0.331694,0.387788,0.433451,0.466246,0,0,0,0.003157,0.011213,0.027092,0.044561,0.051438,0.044164,0.037135,0.031746,0.038654,0.094976,0.112166,0.08642,0.061947,0.04698,0.035533,0.027668,0.022082,0.01987,0.023709
13,R015,Bldg,MYSE.345,MYSE,2016,0,1,42.459373,721.340124,719.80407,8,0,0.54,4.420970643,1.964875841,1.547339725,1.273239545,1.866632048,1.732298701,1.602601858,1.877548026,2.122065908,2.367594195,2.480655749,102.0314189,45.3472973,76.51468593,56.34642667,101.4530144,118.6094296,90.81034457,85.11914014,135.1732564,121.8629265,118.6465022,50.692308,46.928571,45.392157,47.1125,47.801802,49.535484,50.949495,NA,NA,NA,NA,0.262254,0.407457,0.484668,0.524746,0.528369,0.518728,0.501845,0.483686,0.482726,0.497135,0.50692,0.711119,0.520368,0.405679,0.365716,0.367383,0.381511,0.41026,0.432328,0.443465,0.440365,0.439485,0,0,0,0,0,0,0,0,0,0,0,0.130855,0.225469,0.266594,0.260182,0.240014,0.225509,0.205805,0.203036,0.182129,0.159844,0.143639
14,R016,Bldg,MYSE.325,MYSE,2016,1,1,0.092307,817.458927,411.406425,5,0,0.54,3.536776514,3.536776514,2.652582385,2.263536968,2.161363424,2.093194263,2.265747454,2.445178824,2.440375794,2.455282868,2.701704281,0,0,0,88.70624349,73.989589,68.53835187,61.04885081,68.51314833,79.46079574,111.3255111,115.0352376,39.428571,38.892857,41.82,43.4625,45.525862,45.628205,46.412935,NA,NA,NA,NA,0,0.032636,0.135775,0.261316,0.325151,0.37196,0.421416,0.474269,0.503622,0.524522,0.551577,0.338672,0.422298,0.432194,0.442001,0.459,0.467853,0.461815,0.435601,0.422461,0.400809,0.366123,0,0,0,0,0,0,0,0,0,0.006081,0.01512,0.661328,0.546044,0.479416,0.371142,0.286606,0.252303,0.225937,0.214972,0.20263,0.181655,0.160349
15,R017,Pole,MYSE.345,MYSE,2016,0,1,55.657602,503.32951,696.161178,7,0,0.54,2.652582386,2.357851009,2.873630917,2.970892271,3.045557552,3.175880951,3.481514381,3.362120884,3.359937688,3.332169607,3.020996605,113.2654974,182.1721067,134.5269962,118.4942179,82.2876513,79.73785939,115.5600187,111.6470521,128.007759,133.1606139,131.7888508,44.416667,46.592593,45.058824,44.24359,42.306306,41.779221,42.208955,NA,NA,NA,NA,0.577242,0.566969,0.545032,0.545407,0.527902,0.508136,0.503338,0.507828,0.526952,0.545001,0.563663,0.422758,0.433031,0.454968,0.441235,0.441992,0.445894,0.441104,0.43331,0.399335,0.370438,0.351166,0,0,0,0,0,0,0,0.006917,0.015202,0.027579,0.03332,0,0.014549,0.043259,0.07126,0.091152,0.096702,0.094398,0.085434,0.090636,0.091914,0.096376
16,R020,Bldg,EPFU.385,EPFU,2016,1,1,383.617461,961.667222,197.801709,14,0,0.54,3.536776514,3.143801346,2.431533853,2.263536968,1.866632048,1.732298701,1.547339725,1.528236765,1.414710605,1.519937014,1.47365688,124.4607027,150.3384832,170.4650058,109.0976037,127.7994368,106.7462799,81.72762053,93.89521953,104.4269907,102.0630043,101.7841945,45.363636,45.962963,52.914894,59.513158,62.787611,63.033333,63.88,NA,NA,NA,NA,0.049821,0.101404,0.135673,0.147383,0.127014,0.127511,0.145401,0.162042,0.19816,0.218893,0.229402,0.92287,0.805178,0.762287,0.790885,0.825602,0.829841,0.812183,0.785407,0.735593,0.716506,0.70257,0.027309,0.093418,0.102041,0.061728,0.044248,0.033557,0.025381,0.019768,0.020969,0.020286,0.025608,0,0.000018,0.013197,0.032681,0.061961,0.087261,0.106614,0.136709,0.14734,0.147601,0.144458
17,R021,Bldg,EPFU.364,EPFU,2016,1,1,263.873143,1081.440125,296.138574,15,0,0.54,4.420970643,4.32272685,5.084116238,5.092958179,4.813945808,4.619463202,4.586757042,4.541046388,4.314867346,4.29674502,4.052556421,640.2461016,284.5538229,251.8443232,273.5934487,209.1999217,193.4332303,199.6992339,157.787049,157.8237301,146.9674478,133.1931557,43.416667,41.692308,43.083333,45.460526,47.037037,48.901316,50.308081,NA,NA,NA,NA,1,1,1,1,0.997949,0.984416,0.962459,0.927151,0.878369,0.841021,0.808752,0,0,0,0,0.002051,0.015584,0.037541,0.072849,0.121631,0.158979,0.189395,0,0,0,0,0,0,0,0,0,0,0.001853,0,0,0,0,0,0,0,0,0,0,0
18,R022,Bldg,EPFU.364,EPFU,2016,1,1,487.72656,1221.792323,387.712865,14,0,0.54,4.420970643,3.143801346,2.873630917,2.970892271,2.4560948,2.526268938,2.265747454,2.663498362,2.829421211,2.981414912,2.996435657,480.6324177,213.6144079,227.8511196,145.8247165,134.7788692,135.0945018,103.431728,90.55822225,120.3514393,111.1576598,95.73627321,58.076923,60.827586,61.431373,61.949367,62.587719,62.753247,62.093596,NA,NA,NA,NA,0.264666,0.332341,0.366657,0.38344,0.393932,0.40721,0.417425,0.433206,0.447234,0.460391,0.477126,0.735334,0.667659,0.619635,0.573356,0.556473,0.548299,0.540439,0.52186,0.509693,0.499083,0.484337,0,0,0.013707,0.043203,0.049595,0.044491,0.042136,0.044934,0.043073,0.037135,0.031746,0,0,0,0,0,0,0,0.007293,0.017191,0.025283,0.031332
19,R023,Bbox,EPFU.385,EPFU,2016,1,1,259.446689,1044.738341,279.018863,13,0,0.54,3.536776514,2.750826177,2.873630917,2.68795015,2.259607216,1.876656926,1.934174656,1.790220211,1.662284961,1.607625688,1.571900673,468.6414984,208.2851104,117.1603746,151.836303,130.8114922,96.10640251,86.25578308,118.926151,103.8702421,85.84317527,89.83077887,57.545455,52.518519,54.340426,54.72,54.522523,54.239726,55.184615,NA,NA,NA,NA,0.409042,0.380796,0.352301,0.332512,0.326983,0.320781,0.306661,0.2946,0.286537,0.288088,0.291285,0.590958,0.619204,0.647699,0.667488,0.670589,0.669009,0.662666,0.664295,0.670116,0.665187,0.657219,0,0,0,0,0.002429,0.008921,0.020086,0.019763,0.018322,0.021292,0.027487,0,0.032174,0.069379,0.102196,0.125868,0.133883,0.140556,0.144165,0.135311,0.12263,0.111636
20,R024,Bldg,EPFU.907,EPFU,2016,1,1,62.163536,1113.69588,10908.37698,6,0,0.54,14.14710606,14.54008122,12.59976633,10.32738742,8.645453697,7.290090365,5.968310367,4.934021556,4.173396286,3.478317397,3.020996605,361.3876484,313.383236,314.5039402,281.1183473,264.581258,203.7846521,164.3043853,170.6321613,143.2166434,125.494589,128.2638753,25.666667,25.59375,27.730769,30.202532,37.33913,43.104575,48.264423,NA,NA,NA,NA,0.78358,0.788363,0.745993,0.689825,0.642723,0.577969,0.502368,0.461706,0.410912,0.380859,0.378503,0,0.033969,0.131558,0.2361,0.303634,0.3767,0.453354,0.495658,0.529672,0.549551,0.541775,0,0,0,0,0,0,0,0,0,0,0,0.21642,0.177668,0.130011,0.117043,0.121773,0.134883,0.142315,0.146516,0.159888,0.16439,0.164391
21,R025,Bldg,EPFU.432,EPFU,2016,1,1,62.163536,1113.69588,10908.37698,6,0,0.54,14.14710606,14.54008122,12.59976633,10.32738742,8.645453697,7.290090365,5.968310367,4.934021556,4.173396286,3.478317397,3.020996605,361.3876484,313.383236,314.5039402,281.1183473,264.581258,203.7846521,164.3043853,170.6321613,143.2166434,125.494589,128.2638753,25.666667,25.59375,27.730769,30.202532,37.33913,43.104575,48.264423,NA,NA,NA,NA,0.78358,0.788363,0.745993,0.689825,0.642723,0.577969,0.502368,0.461706,0.410912,0.380859,0.378503,0,0.033969,0.131558,0.2361,0.303634,0.3767,0.453354,0.495658,0.529672,0.549551,0.541775,0,0,0,0,0,0,0,0,0,0,0,0.21642,0.177668,0.130011,0.117043,0.121773,0.134883,0.142315,0.146516,0.159888,0.16439,0.164391
22,R026,Bldg,EPFU.385,EPFU,2016,1,1,384.551573,944.730699,182.351561,14,10.02,0.53,3.536776514,3.143801346,2.210485321,1.839123787,1.768388256,1.587940476,1.547339725,1.528236765,1.37934284,1.461477898,1.375413088,124.4607027,240.4669715,170.4650058,109.0976037,127.7994368,106.7462799,81.72762053,64.57491005,104.4269907,102.0630043,101.7841945,42.692308,48.344828,52.612245,60.0125,63.695652,64.038462,64.460396,NA,NA,NA,NA,0.105623,0.13517,0.155794,0.135812,0.120869,0.123807,0.136395,0.152284,0.193887,0.213081,0.220861,0.775446,0.724128,0.742166,0.799241,0.825817,0.829049,0.813348,0.788399,0.739044,0.719849,0.710521,0.118931,0.140701,0.102041,0.061728,0.044248,0.033557,0.025381,0.023102,0.022338,0.022902,0.025663,0,0.01007,0.016103,0.038038,0.071731,0.094878,0.1165,0.140235,0.147165,0.145823,0.143152
23,R027,Bldg,EPFU.949,EPFU,2016,1,1,218.664435,1519.477985,214.871964,17,26.57,0.98,1.768388257,3.143801346,3.757825045,4.244131816,4.126239264,4.114209414,3.702562913,3.493112606,3.466040983,3.566006071,3.782385993,531.5999554,407.4279417,229.1782172,271.6250564,188.6285114,138.5842125,131.0861569,114.0173814,128.9866187,149.0894467,137.0692572,51.25,51.892857,50.12,51.8375,51.857143,53.220779,53.853535,NA,NA,NA,NA,1,0.9929,0.975728,0.952165,0.89799,0.860921,0.832901,0.806084,0.787239,0.768794,0.751256,0,0.0071,0.024272,0.047835,0.10201,0.139079,0.167099,0.19015,0.203595,0.216213,0.230354,0,0,0,0,0,0,0,0.003766,0.009166,0.014993,0.01839,0,0,0,0,0,0,0,0,0,0,0
24,R028,Bldg,MYSE.068,MYSE,2016,1,1,2055.092498,404.799242,844.971752,20,0,0.54,12.3787178,7.466528196,5.747261834,4.668544997,3.92975168,3.248060064,2.984155184,2.70716227,2.369640264,2.162987289,2.087680581,300.7029414,379.7946717,310.3995562,198.6557159,203.5630773,191.421043,197.9698046,197.653607,162.133571,147.6221828,124.7813378,37.769231,42.214286,45.784314,47.875,48.571429,48.967532,48.717172,NA,NA,NA,NA,1,0.971283,0.897714,0.803528,0.739858,0.682372,0.629349,0.581747,0.535924,0.494858,0.46085,0,0.028717,0.102287,0.188687,0.236247,0.277181,0.320325,0.362054,0.399858,0.42383,0.436582,0,0,0,0.007785,0.023894,0.040447,0.050326,0.056199,0.064218,0.081313,0.102568,0,0,0,0,0,0,0.001875,0.008777,0.019255,0.026628,0.034133
25,R029,Bldg,EPFU.949,EPFU,2016,1,1,593.070825,1768.84225,541.662371,15,29.21,-0.95,2.652582386,3.929751682,3.978873577,3.536776513,3.43853272,3.681134739,3.64730078,3.580440421,3.713615339,3.624465187,3.684142201,161.7742619,71.89967194,156.1102373,171.1867062,239.4725783,237.7487719,202.3867928,178.5875324,155.0112967,173.106917,152.9752474,51.384615,49.428571,46.423077,44.481013,44.283186,44.707792,45.512438,NA,NA,NA,NA,1,1,1,1,1,0.991387,0.980268,0.963542,0.950045,0.934045,0.91316,0,0,0,0,0,0.008613,0.019732,0.036458,0.049955,0.065955,0.08684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108
26,R030,Bldg,EPFU.949,EPFU,2016,1,1,291.366803,1640.625527,303.246641,19,0,0.54,8.841941285,5.108677186,4.863067706,3.819718634,3.92975168,3.753313851,3.64730078,4.017079497,3.890454165,4.121367672,3.905190733,239.0231487,349.4583244,206.0473271,131.8702893,195.4460477,183.7448363,145.4365088,145.2599526,145.7029169,124.9823279,127.58576,51.5,54.307692,54.104167,55.184211,56.509091,56.06,54.505,NA,NA,NA,NA,1,1,0.990248,0.977845,0.960815,0.935744,0.89805,0.85662,0.819906,0.796635,0.777853,0,0,0.009752,0.022155,0.039185,0.064256,0.10195,0.14338,0.180094,0.203365,0.220564,0,0,0,0,0,0,0,0,0,0,0.001583,0,0,0,0,0,0,0,0,0,0,0
27,R031,Pole,MYSE.068,MYSE,2016,1,1,2021.480487,381.938557,832.683647,23,0,0.54,7.073553028,7.073553027,5.747261834,5.51737136,4.813945808,4.042030301,3.536776514,2.969145715,2.652582385,2.367594195,2.136802477,662.7746279,486.1634718,306.7524534,241.717685,255.8237675,210.5903804,180.7842603,156.7947043,129.0378599,136.9643204,130.2669654,42.333333,40.178571,43.306122,43.012821,44.864865,45.352941,45.60199,NA,NA,NA,NA,1,1,1,0.97677,0.918904,0.840726,0.774803,0.713152,0.642675,0.579976,0.530437,0,0,0,0.021774,0.069674,0.129501,0.181842,0.234891,0.287554,0.325935,0.354187,0,0,0,0.001456,0.011422,0.029773,0.043354,0.051957,0.069771,0.09409,0.115376,0,0,0,0,0,0,0,0.006146,0.011457,0.012636,0.013337
28,R032,Pole,MYSE.191,MYSE,2016,1,1,2021.480487,381.938557,832.683647,23,0,0.54,7.073553028,7.073553027,5.747261834,5.51737136,4.813945808,4.042030301,3.536776514,2.969145715,2.652582385,2.367594195,2.136802477,662.7746279,486.1634718,306.7524534,241.717685,255.8237675,210.5903804,180.7842603,156.7947043,129.0378599,136.9643204,130.2669654,42.333333,40.178571,43.306122,43.012821,44.864865,45.352941,45.60199,NA,NA,NA,NA,1,1,1,0.97677,0.918904,0.840726,0.774803,0.713152,0.642675,0.579976,0.530437,0,0,0,0.021774,0.069674,0.129501,0.181842,0.234891,0.287554,0.325935,0.354187,0,0,0,0.001456,0.011422,0.029773,0.043354,0.051957,0.069771,0.09409,0.115376,0,0,0,0,0,0,0,0.006146,0.011457,0.012636,0.013337
29,R033,Bldg,MYSE.191,MYSE,2016,1,1,2055.092498,404.799242,844.971752,20,0,0.54,12.3787178,7.466528196,5.747261834,4.668544997,3.92975168,3.248060064,2.984155184,2.70716227,2.369640264,2.162987289,2.087680581,300.7029414,379.7946717,310.3995562,198.6557159,203.5630773,191.421043,197.9698046,197.653607,162.133571,147.6221828,124.7813378,37.769231,42.214286,45.784314,47.875,48.571429,48.967532,48.717172,NA,NA,NA,NA,1,0.971283,0.897714,0.803528,0.739858,0.682372,0.629349,0.581747,0.535924,0.494858,0.46085,0,0.028717,0.102287,0.188687,0.236247,0.277181,0.320325,0.362054,0.399858,0.42383,0.436582,0,0,0,0.007785,0.023894,0.040447,0.050326,0.056199,0.064218,0.081313,0.102568,0,0,0,0,0,0,0.001875,0.008777,0.019255,0.026628,0.034133
30,R035,Bldg,EPFU.345,EPFU,2016,1,1,62.163536,1113.69588,10908.37698,6,0,0.54,14.14710606,14.54008122,12.59976633,10.32738742,8.645453697,7.290090365,5.968310367,4.934021556,4.173396286,3.478317397,3.020996605,361.3876484,313.383236,314.5039402,281.1183473,264.581258,203.7846521,164.3043853,170.6321613,143.2166434,125.494589,128.2638753,25.666667,25.59375,27.730769,30.202532,37.33913,43.104575,48.264423,NA,NA,NA,NA,0.78358,0.788363,0.745993,0.689825,0.642723,0.577969,0.502368,0.461706,0.410912,0.380859,0.378503,0,0.033969,0.131558,0.2361,0.303634,0.3767,0.453354,0.495658,0.529672,0.549551,0.541775,0,0,0,0,0,0,0,0,0,0,0,0.21642,0.177668,0.130011,0.117043,0.121773,0.134883,0.142315,0.146516,0.159888,0.16439,0.164391
31,R036,Tree,EPFU.311,EPFU,2016,1,1,1356.720467,2011.88047,1489.404242,19,0,0.54,5.305164771,4.715702018,4.642019174,4.951487118,4.617458224,4.475104977,4.697281308,4.497382481,4.350235112,4.325974578,4.101678317,601.5063826,465.8222546,315.044183,209.2286845,226.2373878,222.6191793,189.1266834,161.3428001,146.2738033,120.8874407,138.1265284,71,68,66.294118,65,63.663717,62.915033,62.623762,NA,NA,NA,NA,0.284255,0.287993,0.320981,0.382226,0.441641,0.463075,0.46932,0.493086,0.521702,0.543168,0.565215,0.715745,0.712007,0.679019,0.617774,0.558359,0.536925,0.530679,0.506914,0.478297,0.456832,0.434785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
